x,y,timeElapsed,Title,Price,Rating,URL,Image
1022.40,416.42,65965.30,"I Love You Like No Otter: A Funny and Sweet Animal Board Book for Babies and Toddlers this Easter (Punderland)","$4.56","4.9 out of 5 stars","https://www.amazon.com/Love-You-Like-No-Otter/dp/1728213746?ref_=Oct_d_omg_d_4_3&pd_rd_w=OrXiL&content-id=amzn1.sym.6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_p=6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=1728213746","https://m.media-amazon.com/images/I/81YYStQvnsL._AC._SR360,460.jpg"
838.87,416.22,66485.20,"I Love You to the Moon and Back","$4.92","4.9 out of 5 stars","https://www.amazon.com/I-Love-You-Moon-Back/dp/1589255518?ref_=Oct_d_omg_d_4_2&pd_rd_w=OrXiL&content-id=amzn1.sym.6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_p=6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=1589255518","https://m.media-amazon.com/images/I/81mpSoJzv4L._AC._SR360,460.jpg"
854.58,463.26,67001.60,"I Love You to the Moon and Back","$4.92","4.9 out of 5 stars","https://www.amazon.com/I-Love-You-Moon-Back/dp/1589255518?ref_=Oct_d_omg_d_4_2&pd_rd_w=OrXiL&content-id=amzn1.sym.6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_p=6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=1589255518","https://m.media-amazon.com/images/I/81mpSoJzv4L._AC._SR360,460.jpg"
562.25,300.60,67488.80,"Chicka Chicka Boom Boom (Board Book)","$4.06","4.9 out of 5 stars","https://www.amazon.com/Chicka-Boom-Board-Book/dp/1442450703?ref_=Oct_d_omg_d_4_1&pd_rd_w=OrXiL&content-id=amzn1.sym.6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_p=6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=1442450703","https://m.media-amazon.com/images/I/51WABgZmdWL._AC._SR360,460.jpg"
787.60,437.00,68025.30,"I Love You to the Moon and Back","$4.92","4.9 out of 5 stars","https://www.amazon.com/I-Love-You-Moon-Back/dp/1589255518?ref_=Oct_d_omg_d_4_2&pd_rd_w=OrXiL&content-id=amzn1.sym.6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_p=6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=1589255518","https://m.media-amazon.com/images/I/81mpSoJzv4L._AC._SR360,460.jpg"
681.99,448.94,68468.60,"Chicka Chicka Boom Boom (Board Book)","$4.06","4.9 out of 5 stars","https://www.amazon.com/Chicka-Boom-Board-Book/dp/1442450703?ref_=Oct_d_omg_d_4_1&pd_rd_w=OrXiL&content-id=amzn1.sym.6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_p=6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=1442450703","https://m.media-amazon.com/images/I/51WABgZmdWL._AC._SR360,460.jpg"
583.13,421.42,68970.50,"Chicka Chicka Boom Boom (Board Book)","$4.06","4.9 out of 5 stars","https://www.amazon.com/Chicka-Boom-Board-Book/dp/1442450703?ref_=Oct_d_omg_d_4_1&pd_rd_w=OrXiL&content-id=amzn1.sym.6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_p=6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=1442450703","https://m.media-amazon.com/images/I/51WABgZmdWL._AC._SR360,460.jpg"
572.91,399.41,69480.10,"Chicka Chicka Boom Boom (Board Book)","$4.06","4.9 out of 5 stars","https://www.amazon.com/Chicka-Boom-Board-Book/dp/1442450703?ref_=Oct_d_omg_d_4_1&pd_rd_w=OrXiL&content-id=amzn1.sym.6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_p=6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=1442450703","https://m.media-amazon.com/images/I/51WABgZmdWL._AC._SR360,460.jpg"
461.42,444.12,70029.00,"Brown Bear, Brown Bear, What Do You See?","$4.55","4.9 out of 5 stars","https://www.amazon.com/Brown-Bear-What-You-See/dp/0805047905?ref_=Oct_d_omg_d_4_0&pd_rd_w=OrXiL&content-id=amzn1.sym.6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_p=6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=0805047905","https://m.media-amazon.com/images/I/81kZ3Gl3WKL._AC._SR360,460.jpg"
317.27,412.66,70498.90,"Brown Bear, Brown Bear, What Do You See?","$4.55","4.9 out of 5 stars","https://www.amazon.com/Brown-Bear-What-You-See/dp/0805047905?ref_=Oct_d_omg_d_4_0&pd_rd_w=OrXiL&content-id=amzn1.sym.6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_p=6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=0805047905","https://m.media-amazon.com/images/I/81kZ3Gl3WKL._AC._SR360,460.jpg"
